CLS_LOT,LOT_SEQUENCE,STATUS,CLS_OPERATION,CLS_TESTER_ID,CLS_THERMAL_HEAD,DEVICE_END_DATE_TIME,SITE_ID,TIU_PERSONALITY_CARD_ID,DEVICE_TESTER_ID
M435F492,N+4,clean,6262,HXV201,CXSPRXCCF0536,2024-08-31 09:18:34,A502,SPRXCC11T3528,P HXT T64504
M435F306,N+3,downshift,6262,HXV201,CXSPRXCCF0536,2024-08-31 05:24:55,A502,SPRXCC11T3528,P HXT T64504
M435F358,N+2,clean,6262,HXV201,CXSPRXCCF0536,2024-08-31 00:10:35,A502,SPRXCC11T3528,P HXT T64504
M434G797,N+1,downshift but within limit,6262,HXV201,CXSPRXCCF0536,2024-08-30 18:13:29,A502,SPRXCC11T3528,P HXT T64504
M434H013,N,downshift,6262,HXV201,CXSPRXCCF0536,2024-08-30 05:32:39,A502,SPRXCC11T3528,P HXT T64504
M434H091,N-1,clean but not enough data,6262,HXV201,CXSPRXCCF1003,2024-08-29 18:56:40,A502,SPRXCC11T3528,P HXT T64504
M435F187,N-2,downshift,6262,HXV201,CXSPRXCCF1003,2024-08-29 11:41:27,A502,SPRXCC11T3528,P HXT T64504
M434G972,N-3,clean,6262,HXV201,CXSPRXCCF1003,2024-08-29 05:23:39,A502,SPRXCC11T3528,P HXT T64504
M434H155,N-4,clean but not enough data,6262,HXV201,CXSPRXCCF1003,2024-08-28 18:26:53,A502,SPRXCC11T3543,P HXT T64504
M434G570,N-5,downshift,6262,HXV201,CXSPRXCCF1003,2024-08-28 17:09:10,A502,SPRXCC11T3543,P HXT T64504
M433G758,N-6,clean,6262,HXV201,CXSPRXCCF2747,2024-08-20 15:32:12,A502,SPRXCC11T3543,P HXT T65416
M433G656,N-7,clean,6262,HXV201,CXSPRXCCF2747,2024-08-20 14:25:18,A502,SPRXCC11T3543,P HXT T65416
M433F455,N-8,clean,6262,HXV201,CXSPRXCCF2747,2024-08-20 07:10:13,A502,SPRXCC11T3543,P HXT T65416
